time,type,severity,description
2025-07-17 03:25:59,Malware,medium,Suspicious login attempt detected
2025-07-17 03:26:00,Phishing,high,SQL injection pattern detected
2025-07-17 03:26:01,SQL Injection,low,Suspicious login attempt detected
2025-07-17 03:26:02,Phishing,high,Suspicious login attempt detected
2025-07-17 03:26:03,Malware,medium,Malicious payload detected in network packet
2025-07-17 03:26:04,Brute Force,low,Malicious payload detected in network packet
2025-07-17 03:26:05,DDoS,high,Malicious payload detected in network packet
2025-07-17 03:26:06,Phishing,medium,Suspicious login attempt detected
2025-07-17 03:26:07,Malware,medium,SQL injection pattern detected
2025-07-17 03:26:08,DDoS,medium,Multiple failed login attempts from same IP
2025-07-17 03:26:09,Malware,medium,SQL injection pattern detected
2025-07-17 03:26:10,DDoS,low,Excessive bandwidth usage detected
2025-07-17 03:26:11,DDoS,high,SQL injection pattern detected
2025-07-17 03:26:12,Malware,medium,Malicious payload detected in network packet
2025-07-17 03:26:13,Brute Force,high,Excessive bandwidth usage detected
2025-07-17 03:26:14,Phishing,medium,SQL injection pattern detected
2025-07-17 03:26:15,Malware,medium,Multiple failed login attempts from same IP
2025-07-17 03:26:16,DDoS,low,Excessive bandwidth usage detected
2025-07-17 03:26:17,SQL Injection,high,Suspicious login attempt detected
2025-07-17 03:26:18,Phishing,medium,Suspicious login attempt detected
2025-07-17 03:26:19,Phishing,medium,Excessive bandwidth usage detected
2025-07-17 03:26:20,SQL Injection,high,SQL injection pattern detected
2025-07-17 03:26:21,SQL Injection,low,Multiple failed login attempts from same IP
2025-07-17 03:26:22,DDoS,high,Excessive bandwidth usage detected
2025-07-17 03:26:23,SQL Injection,medium,Excessive bandwidth usage detected
2025-07-17 03:26:24,DDoS,low,Excessive bandwidth usage detected
2025-07-17 03:26:25,SQL Injection,medium,Multiple failed login attempts from same IP
2025-07-17 03:26:26,Phishing,high,Multiple failed login attempts from same IP
2025-07-17 03:26:27,DDoS,medium,Malicious payload detected in network packet
2025-07-17 03:26:28,SQL Injection,high,Malicious payload detected in network packet
2025-07-17 03:26:29,Phishing,medium,Suspicious login attempt detected
2025-07-17 03:26:30,Malware,high,Excessive bandwidth usage detected
2025-07-17 03:26:31,DDoS,medium,SQL injection pattern detected
2025-07-17 03:26:32,SQL Injection,medium,SQL injection pattern detected
2025-07-17 03:26:33,DDoS,low,Multiple failed login attempts from same IP
2025-07-17 03:26:34,SQL Injection,medium,Malicious payload detected in network packet
2025-07-17 03:26:35,Malware,low,Malicious payload detected in network packet
2025-07-17 03:26:36,Brute Force,low,Suspicious login attempt detected
2025-07-17 03:26:37,SQL Injection,medium,Multiple failed login attempts from same IP
2025-07-17 03:26:38,DDoS,high,SQL injection pattern detected
2025-07-17 03:26:39,Brute Force,high,Malicious payload detected in network packet
2025-07-17 03:26:40,SQL Injection,low,Multiple failed login attempts from same IP
2025-07-17 03:26:41,Phishing,high,Multiple failed login attempts from same IP
2025-07-17 03:26:42,SQL Injection,medium,Excessive bandwidth usage detected
2025-07-17 03:26:43,Phishing,low,Multiple failed login attempts from same IP
2025-07-17 03:26:44,Brute Force,low,Multiple failed login attempts from same IP
2025-07-17 03:26:45,Brute Force,medium,SQL injection pattern detected
2025-07-17 03:26:46,Brute Force,high,Suspicious login attempt detected
2025-07-17 03:26:47,SQL Injection,high,SQL injection pattern detected
2025-07-17 03:26:48,SQL Injection,high,Multiple failed login attempts from same IP
2025-07-17 03:26:49,DDoS,low,Malicious payload detected in network packet
2025-07-17 03:26:50,Malware,low,Multiple failed login attempts from same IP
2025-07-17 03:26:51,Malware,medium,SQL injection pattern detected
2025-07-17 03:26:52,Phishing,low,Suspicious login attempt detected
2025-07-17 03:26:53,Malware,medium,Multiple failed login attempts from same IP
2025-07-17 03:26:54,DDoS,high,Multiple failed login attempts from same IP
